scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,month,day,depth,depthAccuracy,basisOfRecord,issue,source
Aphanopus intermedius,27.73680305,-88.28541565,233200,NA,NA,NA,900,NA,HumanObservation,NA,OBIS
Aphanopus intermedius,29.47258949,-87.16893005,336520,NA,NA,NA,900,NA,HumanObservation,depth_exceeds_bath,OBIS
Aphanopus intermedius,29.92892647,-86.87680817,335290,NA,NA,NA,900,NA,HumanObservation,depth_exceeds_bath,OBIS
Aphanopus intermedius,27.39999962,-85.09999847,NA,1969,6,16,600,NA,PreservedSpecimen,NA,OBIS
Aphanopus intermedius,27.35,-85.07,NA,1969,6,16,600,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Aphanopus intermedius,26.72111511,-84.93922424,192380,NA,NA,NA,900,NA,HumanObservation,NA,OBIS
Aphanopus intermedius,26.79913521,-84.71572113,201270,NA,NA,NA,900,NA,HumanObservation,depth_exceeds_bath,OBIS
Aphanopus intermedius,26.96666908,-84.19126892,234990,NA,NA,NA,900,NA,HumanObservation,depth_exceeds_bath,OBIS
Aphanopus intermedius,39.338295,-31.205203,NA,2003,6,27,NA,NA,UNKNOWN,COORDINATE_ROUNDED;CONTINENT_INVALID,GBIF
Aphanopus intermedius,39.33829498,-31.20520298,NA,2003,6,27,NA,NA,Occurrence,no_depth,OBIS
Aphanopus intermedius,37.998066,-29.349431,NA,2002,5,9,NA,NA,UNKNOWN,COORDINATE_ROUNDED;CONTINENT_INVALID,GBIF
Aphanopus intermedius,37.99806563,-29.34943061,NA,2002,5,9,NA,NA,Occurrence,no_depth,OBIS
Aphanopus intermedius,38.58502825,-29.00415842,NA,2009,9,15,NA,NA,Occurrence,no_depth,OBIS
Aphanopus intermedius,38.585028,-29.004158,NA,2009,9,15,NA,NA,UNKNOWN,COORDINATE_ROUNDED;CONTINENT_INVALID,GBIF
Aphanopus intermedius,38.58062772,-28.38529634,NA,2003,5,21,NA,NA,Occurrence,no_depth,OBIS
Aphanopus intermedius,38.580628,-28.385296,NA,2003,5,21,NA,NA,UNKNOWN,COORDINATE_ROUNDED;CONTINENT_INVALID,GBIF
Aphanopus intermedius,39.053021,-27.918952,NA,2004,6,17,NA,NA,UNKNOWN,COORDINATE_ROUNDED;CONTINENT_INVALID,GBIF
Aphanopus intermedius,39.05302115,-27.91895151,NA,2004,6,17,NA,NA,Occurrence,no_depth,OBIS
Aphanopus intermedius,38.71012327,-27.39210037,NA,2005,6,10,NA,NA,Occurrence,no_depth,OBIS
Aphanopus intermedius,38.710123,-27.3921,NA,2005,6,10,NA,NA,UNKNOWN,COORDINATE_ROUNDED;CONTINENT_INVALID,GBIF
Aphanopus intermedius,40.22762121,-26.65178107,NA,2004,9,15,NA,NA,Occurrence,no_depth,OBIS
