scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,month,day,depth,depthAccuracy,basisOfRecord,issue,source
Steindachneria argentea,22.183889,-97.351667,NA,1989,9,4,0,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.033333,-88.583333,NA,1954,6,15,0,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.267,-87.928,NA,1985,3,29,NA,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.25,-87.783333,NA,1985,3,27,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,28.566667,-89.35,NA,1985,4,7,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,28.866667,-89.216667,NA,1985,4,8,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,28.65,-89.468,NA,1985,4,7,NA,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.1917,-88.1917,NA,1962,10,23,274,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.1917,-88.1917,NA,1962,10,23,274,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.201,-88.073,NA,1985,3,28,NA,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID,GBIF
Steindachneria argentea,29.1167,-88.7167,NA,1937,4,10,55,0,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.4833,-88.7667,NA,1937,4,9,110,0,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.1167,-88.7167,NA,1937,4,10,85,3,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,25.5667,-80.0333,NA,1937,4,17,NA,NA,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.1167,-88.7167,NA,1937,4,10,79,0,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.4833,-88.7667,NA,1937,4,9,36.5,7.5,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.1167,-88.7167,NA,1937,4,10,119,9,PRESERVED_SPECIMEN,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,41.40995507,-70.60939505,32186.88,NA,NA,NA,NA,NA,PRESERVED_SPECIMEN,COORDINATE_REPROJECTED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
